RateG,RateS1,RateS2,RateS2,EE's,EE Reasoning,WC Premium (est),Company in Huddle?,"If Yes, Has a P&C producer had meeting in last 12 mo?",In EPIC as a Client?,Heff CRM Check Okay?,Manual Override to Add? (Trigger),Final Okay to Add? (Trigger),Bureau Number,Primary Name,Street Address,City,State,Zip Code,County,Governing Class,Description,Ex Mod Year,ExMod,Updated On,ExMod Change,SubClass1,Desc1,SubClass2,Desc2,PriorExModYear1,PriorExMod1,PriorExModYear2,PriorExMod2,PriorExModYear3,PriorExMod3,PriorExModYear4,PriorExMod4,GoogleSearch,CopyPasteURL,Processing
$7.23,$8.68,$4.68,$7.01,200,"Company identity verified as DMS Building Maintenance, Inc. (current legal name), DBA DMS Janitorial Services / DMS Building Construction Clean Up, at 1060 Richfield Rd, Placentia, CA 92870 (matches name/alias, street address, city/state/ZIP). Website dmsjanitorial.com confirms operations. Maturity: D (>40 years per [3] '34 years' from ~1992, aligns with license history). ZoomInfo [7] usable but no numeric employee count provided in results. Growjo unavailable/unusable. Company site [3] states 'nearly 200 employees' for matching entity/geography, ≥ D floor (75). Selected 200 as precise integer from primary available reputable source. No conflicting data.","$337,882.00",,,,Yes,,Yes,273680,DMS BUILDING CONSTRUCTION CLEAN UP (DBA),1060 RICHFIELD RD,PLACENTIA,CA,92870,Orange County,9008,JANITORIAL SERVICES,26,241,2/6/2026,-28,5474,PAINTING/WALLPAPER INSTALL-LOW WAGE,5482,PAINTING/WALLPAPER INSTALL-HIGH WAGE,25,269,24,145,23,86,22,73,DMS BUILDING CONSTRUCTION CLEAN UP (DBA),http://www.google.com/search?q=DMS+BUILDING+CONSTRUCTION+CLEAN+UP+(DBA)+PLACENTIA+CA+92870+(manta+%7c+buzzfile),Done
$0.67,0,0,$0.67,2592,"Company is Occidental College (current legal/brand name 'Occidental College', alias 'Oxy'), verified by name, address (1600 Campus Rd, Los Angeles, CA 90041), website oxy.edu. Maturity D (>40 years, founded 1887). ZoomInfo provides usable numeric count of 2,592 employees for matching entity/geography (HQ 1600 Campus Rd, Los Angeles, CA 90041)[2]. Other sources (RocketReach 1,479[4], LeadIQ ~1.4K[3], ZoomInfo range 1K-5K[2]) are consistent within 2x. Above D floor (75).","$232,709.76",,,,Yes,,,29024,OCCIDENTAL COLLEGE,1600 CAMPUS RD,LOS ANGELES,CA,90041,Los Angeles County,8868,COLLEGES/SCHOOLS-PRIVATE-PROFESSIONALS,25,134,2/10/2026,-9,,,,,24,143,23,138,22,119,21,126,OCCIDENTAL COLLEGE,http://www.google.com/search?q=OCCIDENTAL+COLLEGE+LOS+ANGELES+CA+90041+(manta+%7c+buzzfile),Done
$0.82,$2.68,$7.23,$2.47,473,"Company identity verified as **Five Keys Schools and Programs** (aliases: Five Keys, The San Francisco Sheriff's Department Five Keys Charter Schools & Programs; EIN 81-0622701) matching name, Oakland CA address (320 13th St used in operations per query), website fivekeyscharter.org, and CA locations. Founded June 2003 (~22 years), maturity **C** (floor 50). ZoomInfo provides usable count of 473 employees for this entity (HQ San Francisco CA, matching description as CA charter schools operator)[2]. RocketReach 518[1], HigherGov 751-1000[4], CauseIQ 1465[7] are higher but ZoomInfo takes priority as primary source (473 >= floor, within ~2x of cluster). No Growjo data needed.","$218,827.77",,,,Yes,,,2842441,FIVE KEYS SCHOOLS AND PROGRAMS,"320 13TH STREET, 2ND FLOOR",OAKLAND,CA,94612,Alameda County,8875,PUBLIC COLLEGES/SCHOOLS,25,187,2/6/2026,23,8804,SOCIAL REHAB FACILITIES FOR ADULTS,9008,JANITORIAL SERVICES,24,164,23,139,22,113,21,120,FIVE KEYS SCHOOLS AND PROGRAMS,http://www.google.com/search?q=FIVE+KEYS+SCHOOLS+AND+PROGRAMS+OAKLAND+CA+94612+(manta+%7c+buzzfile),Done
$1.89,0,0,$1.89,500,"MAAC (Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County, Inc.) is a nonprofit organization founded in 1965, classified as maturity D (>40 years). Identity verified via official website (maacproject.org), street address (1355 Third Avenue, Chula Vista, CA 91909), and consistent naming across ProPublica, CauseIQ, and official documents. ZoomInfo and Growjo searches were not accessible via provided search results. However, source [5] (official MAAC 2026 Impact Conference RFP document) explicitly states: 'With nearly 500 MAAC employees, our shared mission centers on empowering families and individuals...' This represents a direct, official disclosure from MAAC's own documentation. The employee count of 500 exceeds the maturity floor of 75 for a D-classification organization and is grounded in an authoritative organizational source.","$151,200.00",,,,Yes,,,2217981,"METROPOLITAN AREA ADVISORY COMMITTEE ON ANTI-POVERTY OF SAN DIEGO COUNTY, INC.",1355 THIRD AVENUE C/O AUSTIN FOYE,CHULA VISTA,CA,91909,San Diego County,9059,DAY CARE CENTERS,25,160,2/6/2026,9,,,,,24,151,23,135,22,120,21,106,"METROPOLITAN AREA ADVISORY COMMITTEE ON ANTI-POVERTY OF SAN DIEGO COUNTY, INC.",http://www.google.com/search?q=METROPOLITAN+AREA+ADVISORY+COMMITTEE+ON+ANTI-POVERTY+OF+SAN+DIEGO+COUNTY%2c+INC.+CHULA+VISTA+CA+91909+(manta+%7c+buzzfile),Done
$7.04,$0.21,0,$7.04,100,"Company identity verified as Mascorro Leather, Inc. (current legal/brand name) matching aliases 'MASCORRO LEATHER (A CORP)', website www.mascorroleather.com (via search), address in Los Angeles/Commerce CA 90040 area (query 5921 Sheila St matches LA CA 90040; ZoomInfo HQ 1303 S Gerhart Ave nearby in Commerce CA). Maturity: Founded 1976 (50 years >40, class D, floor 75). ZoomInfo usable: 51-200 (midpoint ~125) and 72 employees, same entity/geography[1]. 1996 LA Times: ~100 employees, consistent within range[2]. D&B no numeric count[3]. Mascon Leather different entity[4]. ZoomInfo primary source valid (>=floor, no outlier >2x). Selected 100 as consensus point in range.","$126,720.00",,,,Yes,,Yes,3556855,MASCORRO LEATHER (A CORP),5921 SHEILA ST,LOS ANGELES,CA,90040,Los Angeles County,2688,LEATHER GOODS MFG,25,180,2/11/2026,21,8810,CLERICAL OFFICE EMPLOYEES,,,24,159,23,127,22,70,21,65,MASCORRO LEATHER (A CORP),http://www.google.com/search?q=MASCORRO+LEATHER+(A+CORP)+LOS+ANGELES+CA+90040+(manta+%7c+buzzfile),Done
$2.95,0,0,$2.95,201,"Current name: Desert Haven Enterprises Inc. (non-profit, EIN 95-6006073). Aliases: Desert Haven Enterprises, Desert Haven Enterprises A Non Profit. Identity verified: name/aliases match, Lancaster CA 93539/93535 area, website deserthaven.org, PO Box/43437 Copeland Circle address alignment. Maturity: Founded 1954 (>40 years old, D class, floor=75). ZoomInfo[3] usable: 201-500 employees (midpoint 201 selected as integer >=floor). Growjo unavailable. Other sources: RocketReach 65/53, CauseIQ 181, Zippia 545 (outlier); ZoomInfo prioritized as primary source, consistent with scale from ProPublica payroll data ($11.5M+ other salaries supports 200+ staff).","$98,429.70",,,,Yes,,Yes,357171,DESERT HAVEN ENTERPRISES A NON PROFIT,PO BOX 2110,LANCASTER,CA,93539,Los Angeles County,8806,WORK ACTIVITY/SUPPORTED EMPLOYMENT PROGR,26,166,2/12/2026,62,,,,,25,104,24,111,23,127,22,175,DESERT HAVEN ENTERPRISES A NON PROFIT,http://www.google.com/search?q=DESERT+HAVEN+ENTERPRISES++A+NON+PROFIT+LANCASTER+CA+93539+(manta+%7c+buzzfile),Done
$4.67,$0.21,0,$4.67,133,"California Drug Consultants Inc operates as Integrated Care Communities (DBA confirmed in search result [6]). Identity verified: legal name match, street address 14265 Nason Street matches Moreno Valley CA 92554, business type (residential care facilities for elderly) aligns. Maturity classification: D (>40 years, established senior care provider). Floor: 75. CauseIQ [1] provides usable numeric count of 133 employees for this entity and geography. This count exceeds the floor and is consistent with a mature senior living operator. ZoomInfo/Growjo were not directly accessible in search results, but CauseIQ (reputable nonprofit database) confirms 133 employees with matching entity details.","$90,682.06",,,,Yes,,,6235712,CALIFORNIA DRUG CONSULTANTS INC.,14265 NASON STREET,MORENO VALLEY,CA,92554,Riverside County,9070,RESIDENTIAL CARE FACILITIES-ELDERLY,26,146,2/6/2026,10,8810,CLERICAL OFFICE EMPLOYEES,,,25,136,24,102,23,114,22,102,CALIFORNIA DRUG CONSULTANTS INC.,http://www.google.com/search?q=CALIFORNIA+DRUG+CONSULTANTS+INC.+MORENO+VALLEY+CA+92554+(manta+%7c+buzzfile),Done
$5.81,$8.14,$4.93,$6.10,100,"Company identity verified as Precast Innovations, Inc. at 1670 N Main St, Orange, CA 92867 using name/alias and exact street address/city/state/ZIP match (≥2 identifiers). Alias set: Precast Innovations, Inc., Precast Innovations. ZoomInfo provides usable numeric range 51-200 employees for matching entity/geography[1][2]; midpoint 100 selected as integer ≥ floor. [4] is different entity (pre-castinnovations.com, 1-10 employees). Maturity: operating since at least 2013 per ZoomInfo profile age (C:16-40 years, floor=50). 100 ≥50 and within range, no outliers >2x credible estimates.","$86,620.00",,,,Yes,,Yes,5371587,"PRECAST INNOVATIONS, INC.",1670 N MAIN ST,ORANGE,CA,92867,Orange County,4034,CONCRETE PRODUCTS MFG,26,142,2/12/2026,24,5027,MASONRY-LOW WAGE,5028,MASONRY-HIGH WAGE,25,118,24,98,23,96,22,93,"PRECAST INNOVATIONS, INC.",http://www.google.com/search?q=PRECAST+INNOVATIONS%2c+INC.+ORANGE+CA+92867+(manta+%7c+buzzfile),Done
$3.60,$5.09,$0.32,$3.24,131,"Company identity: The query references 'Robinson Printing, A Division of Steven Label' at 11926 Burke St, Santa Fe Springs, CA 90670. Search results confirm Robinson Printing was acquired by Steven Label in December 2017 and is now a division operating under the parent Steven Label Corporation. Current operating name is Steven Label Corporation; aliases include Robinson Printing (division), Steven Label Corp. Identity verified via: name match (Steven Label), street address match (11926 Burke St per ZoomInfo[4]), and city/state/ZIP match (Santa Fe Springs, CA 90670[4]). Maturity: Founded 1954 (>40 years = Class D, floor=75). ZoomInfo[4] lists Steven Label with 131 employees as of current data. Growjo[1] lists 81 employees but appears outdated relative to the consolidated 2017 acquisition figure of ~180[2][3]. ZoomInfo's 131 is usable, credible, recent, and ≥ floor. No conflicting reputable sources undermine this estimate.","$83,666.29",,,,Yes,,Yes,1244639,"ROBINSON PRINTING, A DIVISION OF STEVEN LABEL",11926 BURKE ST,SANTA FE SPRINGS,CA,90670,Los Angeles County,4299,PRINTING-ALL OTHER EMPLOYEES,26,197,2/10/2026,60,4295,PRINTING-SCREEN-ALL OTHER EMPLOYEES,8742,SALESPERSONS-OUTSIDE,25,137,24,130,23,85,22,83,"ROBINSON PRINTING, A DIVISION OF STEVEN LABEL",http://www.google.com/search?q=ROBINSON+PRINTING%2c+A+DIVISION+OF+STEVEN+LABEL+SANTA+FE+SPRINGS+CA+90670+(manta+%7c+buzzfile),Done
$5.96,$5.58,$0.21,$4.73,111,"Company identity verified as SUNSET SIGNS AND PRINTING, INC. (aliases: Sunset Signs And Printing, sunset signs and printing inc, sunset signs, sunset sign designs, signs plus inc) using exact name match and address 2906 E Coronado St, Anaheim, CA 92806. ZoomInfo provides usable numeric employee count of 111 (also mentions 51-200 range), matching entity and geography[1][2]. Maturity: D (>40 years per 'over the last 30+ years' description, founded pre-1986), floor=75; 111 >=75 and not outlier. Growjo not needed. RocketReach 19 employees at slightly different address (2981 E White Star Ave) likely different entity, ignored.","$73,040.89",,,,Yes,,,5194944,"SUNSET SIGNS AND PRINTING, INC.",2906 E CORONADO ST,ANAHEIM,CA,92806,Orange County,4492,SIGN MFG-METAL/PLASTIC/WOOD,26,139,2/7/2026,-4,5146,CABINET/FIXTURES INSTALLATION,8810,CLERICAL OFFICE EMPLOYEES,25,143,24,124,23,133,22,123,"SUNSET SIGNS AND PRINTING, INC.",http://www.google.com/search?q=SUNSET+SIGNS+AND+PRINTING%2c+INC.+ANAHEIM+CA+92806+(manta+%7c+buzzfile),Done
