Bureau Number,Primary Name,Sources (EE),Sources (Revenue),Sources (POCs)
357171,DESERT HAVEN ENTERPRISES A NON PROFIT,"1. https://rocketreach.co/desert-haven-enterprises-inc-profile_b5acb725f9e5b7c3
2. https://www.zippia.com/desert-haven-enterprises-careers-21292/demographics/
3. https://www.zoominfo.com/c/desert-haven-enterprises-inc/1153836915
4. https://projects.propublica.org/nonprofits/organizations/956006073
5. https://www.deserthaven.org/userfiles/files/DHE%20Desert%20Enterprise%20newsletter%202nd%20half%2023%2024%20printable%20version.pdf
6. https://lancasterconnect.com/desert-haven-enterprises/
7. https://www.causeiq.com/organizations/desert-haven-enterprises,956006073/
8. https://www.deserthaven.org/annual-reports.html
9. https://www.deserthaven.org/community-based-employment-services.html","1. https://projects.propublica.org/nonprofits/organizations/956006073
2. https://www.deserthaven.org/about-desert-haven-enterprises.html
3. https://www.causeiq.com/organizations/desert-haven-enterprises,956006073/
4. https://www.deserthaven.org/contact.php
5. https://www.deserthaven.org/accreditations-certifications-licenses-and-vendorization.html
6. http://www.deserthaven.org/index.php
7. https://www.guidestar.org/profile/95-6006073
8. https://www.mapquest.com/us/california/desert-haven-enterprises-inc-374836871
9. https://www.deserthaven.org"",
10. https://www.deserthaven.org
11. https://projects.propublica.org/nonprofits/organizations/956006073"",
12. https://www.deserthaven.org/about-desert-haven-enterprises.html"",
13. https://www.deserthaven.org/contact.php"",
14. https://www.causeiq.com/organizations/desert-haven-enterprises,956006073/"",
15. https://www.guidestar.org/profile/95-6006073""",
3491360,RYAN RANCH CHILDREN'S CENTER (DBA),"1. https://rocketreach.co/childrens-center-management_b44cf97bfd50d110
2. https://www.indeed.com/cmp/Ryan-Ranch-Children's-Center
3. https://www.montereybayparent.com/monterey-bay-parent-family-favorites-directory/
4. https://www.daycare.com/profile/california/monterey/ryan-ranch-children-s-center-pre-school
5. https://csumb.edu/media/csumb/legacy/legacy-site-images/section-editors/human-resources/YMWCzrwJShi1wh2pOSAe_st-block-74-1461345529458-raw-uprecruitmentresourceguide.pdf
6. https://www.countyofmonterey.gov/government/departments-a-h/human-resources/human-resources/find-a-job
7. https://www.montagehealth.org",,
5371587,"PRECAST INNOVATIONS, INC.","1. https://www.zoominfo.com/pic/precast-innovations-inc/358948371
2. https://www.zoominfo.com/c/precast-innovations-inc/358948371
3. https://rocketreach.co/precast-innovations-inc-profile_b5e11a0bf42e69d4
4. https://www.zoominfo.com/c/pre-castinnovationscom/1237083215
5. https://www.nj.gov/cgi-bin/transportation/database/viewdb.pl?database=ASPHALT_CONCRETE_PLANTS&action=view&fields=2%2C4&select=AND%3B%3B0%3B%3BEQ%3B%3BAPPROVED+CONCRETE+PLANTS+&sort=2&URL=%2Ftransportation%2Feng%2Fmaterials%2Fqualified%2FQPLDB.shtm","1. https://www.bbb.org/us/ca/orange/profile/mason-contractors/precast-innovations-inc-1126-100090474
2. https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2852171
3. https://www.procore.com/network/p/precast-innovations-inc-orange
4. https://rocketreach.co/precast-innovations-inc-profile_b5e11a0bf42e69d4
5. https://www.thebluebook.com/iProView/792826/precast-innovations-inc/manufacturers/
6. https://precastinnovations.com
7. https://www.buildzoom.com/contractor/precast-innovations-inc
8. https://www.zoominfo.com/c/precast-innovations-inc/358948371
9. https://precastinnovations.com"",
10. https://www.bbb.org/us/ca/orange/profile/mason-contractors/precast-innovations-inc-1126-100090474"",
11. https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2852171"",
12. https://rocketreach.co/precast-innovations-inc-profile_b5e11a0bf42e69d4"",
13. https://www.thebluebook.com/iProView/792826/precast-innovations-inc/manufacturers/"",
14. https://www.zoominfo.com/c/precast-innovations-inc/358948371""",
8766106,"LOVE PEACE AND OSTRICHES, INC.","1. https://www.ostrichlandusa.com/visit
2. https://vertpaleo.org/wp-content/uploads/2021/03/SVP-2017-program-book-v6-Print-Ready-with-front-cover.pdf
3. https://darwin-online.org.uk/content/frameset?pageseq=203&itemID=A268&viewtype=side
4. http://www.library.uc.edu.kh/userfiles/pdf/40.Subject%20headings%20for%20school%20and%20public%20libraries%20an%20LCSH.pdf
5. http://www.versedaily.org/archives3.shtml
6. ftp://ftp.cs.princeton.edu/pub/cs226/autocomplete/bing.txt",,
9650695,(DBA) HARBOR HEIGHTS ASSISTED LIVING & MEMORY CARE,"1. https://www.indeed.com/cmp/Harbor-Heights-Assisted-Living-&-Memory-Care/locations/CA/Anaheim
2. https://www.aplaceformom.com/community/harbor-heights-96469
3. https://olera.care/provider/harbor-heights
4. https://seniorcarefinder.com/providers/42476/ca/anaheim/harbor-heights
5. https://www.seniorly.com/assisted-living/california/anaheim/la-palma-royale
6. https://www.caring.com/senior-living/california/anaheim/harbor-heights
7. https://www.project-access.org/our-programs/resource-centers/
8. https://milestoneretirement.com/senior-living/ca/anaheim/harbor-heights/financial-resources-harbor-heights/",,
9859311,CHASE WORLDWIDE (DBA),"1. https://www.congress.gov/119/meeting/house/118889/documents/BILLS-1194ih.pdf
2. https://www.zoominfo.com/c/chase-worldwide/398943634
3. https://businessbranch.chase.com/ca/gardena/business/cbcb-Branch-5319
4. https://www.irs.gov/pub/irs-soi/eo_ca.csv
5. https://www.maximhealthcare.com/maxim-healthcare-locations/gardena-ca-regional-office/
6. https://www.gatesfoundation.org/about/committed-grants",,
9999015,D PET HOTEL HOLLYWOOD LLC (AND/OR) EJK PET,"1. https://leadiq.com/c/d-pet-hotels/5a1dc0fe2300005b00c17330
2. https://www.zoominfo.com/c/d-pet-hotels/346022549
3. https://www.simplyhired.com/browse-jobs/companies/D-Pet-Hotels-Hollywood
4. https://www.indeed.com/cmp/D-Pet-Hotels-1
5. https://www.indeed.com/cmp/D-Pet-Hotels-Hollywood
6. https://shakopeedakota.org
7. https://www.tripadvisor.com/Attraction_Review-g298082-d1077858-Reviews-or10-Cham_Island_Diving-Hoi_An_Quang_Nam_Province.html",,
810668,GLENOAKS CONVALESCENT HOSPITAL,"1. https://www.indeed.com/cmp/Glenoaks-Convalescent-Hospital/reviews
2. https://www.ihirenursing.com/orgs/220044/glenoaks-convalescent-hospital
3. https://www.zoominfo.com/pic/sherman-oaks-hospital/247824506
4. https://www.indeed.com/cmp/Glenoaks-Convalescent-Hospital
5. https://nursinghome411.org/wp-content/uploads/2019/11/PBJ-Direct-Care-Staffing-CY-2019Q2.xlsx
6. https://shermanoakshospital.org/services/sub-acute-nursing-care-center/
7. https://www.latimes.com/science/story/2025-06-06/state-suspends-troubled-nursing-home-companys-license",,
2529891,ENRICH ENTERPRISES INC.,"1. https://www.zoominfo.com/c/enrich-inc/462982325
2. https://www.bwxt.com
3. https://www.cdmsmith.com/en/
4. https://ballmergroup.org/our-grants/
5. https://www.masterbrand.com
6. https://sagehospitalitygroup.com",,
2721041,COMMEX CORPORATION,"1. https://www.zoominfo.com/pic/commex-corp/442317675
2. https://www.simplyhired.com/browse-jobs/companies/Commex-Corp
3. https://www.indeed.com/cmp/Commex-Corporation
4. https://www.zoominfo.com/c/commex-corp/442317675
5. https://www.salary.com/research/company/commex-corp-salary
6. https://www.indeed.com/cmp/Commex-Corporation/reviews?fcountry=US&floc=Hayward%2C+CA
7. https://commexcorp.com
8. https://labormarketinfo.edd.ca.gov/aspdotnet/databrowsing/empDetails.aspx?menuChoice=emp&empid=834650087&geogArea=0604000001",,
