Class Code,9/1/2025 Proposed Pure Premium Rates
5,$4.57
16,$6.53
34,$5.75
35,$4.11
36,$6.92
38,$9.46
40,$3.85
41,$4.39
42,$5.41
45,$4.55
50,$6.27
79,$2.57
96,$4.63
106,$11.50
171,$6.13
172,$3.82
251,$3.76
401,$7.93
1122,$2.48
1320,$1.27
1322,$4.27
1330,$2.53
1438,$5.42
1452,$2.20
1463,$3.66
1624,$3.32
1699,$1.79
1701,$3.57
1710,$4.02
1741,$4.16
1803,$8.20
1925,$12.71
2002,$8.38
2003,$5.46
2004,$6.78
2014,$5.46
2063,$4.86
2081,$8.87
2095,$7.50
2102,$5.19
2107,$4.49
2108,$4.61
2109,$6.92
2111,$5.74
2113,$10.46
2116,$5.20
2117,$7.25
2121,$2.87
2123,$6.24
2142,$2.81
2163,$7.29
2222,$6.44
2362,$12.18
2402,$9.36
2413,$5.07
2501,$5.55
2570,$8.48
2571,$9.90
2576,$9.09
2584,$5.28
2585,$7.07
2589,$4.43
2660,$9.47
2683,$5.08
2688,$7.04
2702,$19.12
2710,$6.70
2727,$18.63
2731,$6.44
2757,$8.21
2759,$6.50
2790,$2.04
2797,$10.20
2806,$6.25
2812,$5.59
2819,$5.91
2840,$3.38
2842,$5.74
2852,$10.15
2881,$9.25
2883,$11.42
2915,$4.93
2923,$4.02
3018,$2.26
3022,$7.17
3030,$8.01
3039,$8.42
3040,$5.90
3060,$7.03
3066,$4.98
3070,$0.43
3076,$5.28
3081,$12.39
3082,$12.94
3085,$12.60
3099,$3.68
3110,$6.31
3131,$4.27
3146,$3.88
3152,$3.94
3165,$4.27
3169,$4.55
3175,$4.58
3178,$2.08
3179,$2.31
3180,$4.95
3220,$2.48
3241,$4.39
3257,$5.02
3339,$5.60
3365,$4.94
3372,$5.34
3383,$2.77
3400,$6.88
3401,$4.33
3501,$6.01
3507,$3.62
3560,$2.87
3568,$2.08
3569,$2.14
3570,$3.22
3572,$0.82
3573,$1.48
3574,$2.27
3577,$0.95
3612,$2.90
3620,$6.45
3632,$2.71
3634,$2.81
3643,$1.71
3647,$5.36
3651,$3.05
3681,$0.45
3682,$1.17
3683,$0.50
3719,$1.61
3724,$4.23
3726,$2.06
3805,$1.39
3808,$4.70
3815,$5.42
3821,$7.12
3828,$4.43
3830,$1.90
3831,$2.50
3840,$5.04
4000,$3.51
4034,$5.81
4036,$4.89
4038,$7.62
4041,$3.75
4049,$3.96
4111,$2.50
4112,$0.33
4114,$2.99
4130,$6.82
4150,$2.54
4239,$3.84
4240,$6.94
4243,$3.98
4244,$4.82
4250,$4.03
4251,$4.06
4279,$6.32
4283,$2.83
4286,$7.05
4295,$5.09
4297,$0.23
4299,$3.60
